7736,8473,7734
2682,12250,13004
14679,14681,14989
3571,14460,11914
13257,12657,12655
9597,9596,17717
3807,16346,14968
17135,4185,17136
2293,12589,11764
8467,7696,4734
17824,13125,4620
17967,4315,8989
17543,4395,9334
14554,11640,11641
12039,12037,2148
3172,14552,12342
3237,13053,14562
10871,4527,17664
12303,2235,12304
12691,12692,13480
15471,3409,15473
1483,8258,5077
10906,10905,1905
11709,3908,15932
7908,8337,7911
12047,12045,12877
15482,3412,15480
15242,8908,8909
6212,3007,6215
11992,2564,13384
11712,12558,2286
12707,12706,13382
6253,6255,6252
6233,13911,6234
2093,11781,11779
11413,11414,12214
7855,8524,7858
14988,3206,13011
7289,7287,759
5228,14026,5225
6661,734,7038
5572,5573,199
16110,15604,15603
6945,6943,8704
6625,686,7033
13267,2516,13271
16697,16695,3962
783,7366,7367
10766,2398,12200
9007,8812,1384
6248,6246,450
3958,16677,16679
7064,7340,7062
4109,16437,16738
4266,17092,17094
16932,16934,17380
15710,16725,15707
16297,17812,16296
4541,13704,17688
13591,13590,17672
7230,7232,743
7311,7314,766
17395,17201,17199
14168,14170,2861
13290,2617,12597
17004,17630,4518
241,5684,5682
17115,16885,16886
6258,6261,6257
14154,6272,6273
15518,15517,15894
13045,13839,2767
10976,1917,10980
17164,9289,9290
3522,15194,15719
4525,10365,17658
1901,10886,10882
8662,7501,4777
14439,15572,14437
13336,3501,14709
17464,4343,12984
16309,8310,3803
5379,5375,152
7920,7918,939
11750,14606,3190
15064,3229,15065
244,5687,5692
11231,1962,11229
8707,8706,1263
9458,2573,12847
7752,8260,4703
1872,9474,10817
12391,13928,12392
11449,11450,2016
7264,752,7262
8265,8266,14256
12443,14584,12442
3708,12751,16116
5063,5062,16145
17903,4665,17906
10646,1832,9723
15737,14184,14189
8864,1325,8863
8257,5076,93
13483,13482,14779
15474,4045,16608
9918,15364,9916
14916,15414,14915
1063,8276,6896
4694,17922,12113
11709,2080,11710
6328,478,6324
12385,2515,11718
13865,2722,4875
11125,11145,1946
11227,3576,15450
12331,2240,12329
8009,14278,8008
3294,9256,15235
12646,12644,14706
17727,17255,4569
15389,9601,3377
10411,1791,10416
6126,405,6121
14918,11629,3172
12687,2320,12688
10068,1698,10064
11649,2070,10403
13073,2467,13071
12436,2259,11619
13402,12515,12512
12127,12121,12155
14988,13012,3371
8310,1080,8308
16861,16662,16663
15795,9375,9374
10361,10358,17038
10372,3732,15392
9587,9591,1597
2469,10431,12547
2296,11775,11755
11637,14886,11635
11642,11638,12465
6080,6083,6079
12824,11405,2564
16208,16497,3873
15384,3566,13736
3556,11016,15363
10439,14315,10440
14861,14873,14860
4818,13890,2829
2927,11051,14320
4932,4936,2571
9683,10116,1730
11963,11966,12853
2223,11506,12231
13242,14027,2794
8000,8576,2917
13651,7270,7269
8071,7526,3604
4265,17073,13769
12827,10633,10631
12268,12266,2230
12580,2291,12582
3933,15883,7610
2452,12988,12987
3202,14981,14982
8277,6783,6784
17954,14384,17953
3749,10096,15853
7076,699,7074
10616,10617,13283
12788,2874,12022
3466,15631,8271
15075,15076,16881
10243,3102,11493
13898,11797,11798
12551,2596,13464
7137,987,8071
4133,16790,10684
8434,8436,8733
11243,2357,12809
17954,7482,15600
8362,6970,6968
8694,8303,8305
15273,3319,15275
3237,14562,5403
7245,8440,7243
8361,8362,1105
16814,13698,4147
3301,15247,12193
13695,4016,11573
5462,1479,5463
919,7257,6621
16058,3839,7309
6704,6706,603
750,6613,6866
6951,780,6717
7330,6718,6716
5470,8118,3841
16884,13953,4061
15714,15189,15190
7101,921,7331
2733,10234,11518
13551,15245,13549
2978,13031,14487
2813,14063,14062
14062,14064,2813
15082,15084,16653
4058,14064,15629
4375,15527,17519
4484,17457,17587
11537,4149,17069
12947,12946,2430
5491,5490,5489
17338,17341,17513
9092,1418,8142
4195,16920,9270
5489,7634,853
14992,3207,14994
13149,13152,16578
15534,17703,4513
15789,17894,15790
14996,3208,14999
8673,8159,8161
16391,16390,16957
15195,16096,15196
8153,16699,8152
7395,7024,789
16875,4432,17600
16374,16373,3824
17336,4280,17334
1502,9275,9274
16739,4742,8674
9322,1521,7743
16739,16436,16438
3718,15222,16147
15709,4101,16746
17516,4447,14504
16435,15199,15196
15708,16141,15706
4603,15912,17800
14337,2932,14339
5501,5500,175
3520,15711,15709
17376,17375,17377
4631,15900,17796
13673,13671,2673
8730,6803,1272
17894,4660,15790
8992,9088,8993
16625,4081,16355
7391,9066,1408
17567,17565,17651
17554,9020,9021
4322,17219,17428
4578,17678,17744
17424,17565,4408
17131,9821,4181
4110,17002,9039
17846,4629,15954
7145,17945,6725
584,6626,6624
6672,7118,2422
7978,960,7975
15950,14952,14954
17400,4394,16926
8837,4458,9335
8803,1301,8800
9028,1391,9027
8708,8711,1264
13674,16897,4066
5544,14542,5545
10822,5524,5525
13050,2463,13053
10978,1917,10975
5353,5348,2703
5350,5358,147
3001,5328,5323
10967,10968,1915
13278,11674,11670
12437,2529,12428
13816,14476,2974
206,5590,5591
5791,11475,5790
5593,207,5589
12060,11257,2154
10197,1859,10775
5682,11972,2132
3559,9947,10962
13732,14472,3200
1714,10159,10158
13023,2458,10637
10672,14452,10671
17977,143,5341
5362,13803,5361
13261,12368,3001
2280,11796,12535
17027,9630,9628
10981,11799,2096
10962,10960,15374
2105,11847,11845
10960,10958,11799
5326,5322,5321
131,5285,5286
5317,138,17976
11798,2096,11800
12366,2247,12368
5531,5534,5529
1814,10544,10545
6707,7092,6710
15588,15587,3451
7839,1493,6924
17333,4295,17366
821,6761,7403
2883,13594,7188
14719,13268,13270
12715,2327,12714
2511,13253,5252
5437,5433,11519
11534,11533,2051
5463,9239,1481
8120,5468,5469
12699,13473,3273
7008,7006,8374
1745,7541,10274
1745,10274,9216
9225,9532,3497
7542,7539,8517
3309,14736,9326
13216,2502,13218
3288,14618,15228
8382,8030,8033
16815,11010,4135
7338,7337,13496
102,5133,5132
5173,109,5177
1177,7841,8518
9531,9532,1583
7469,810,7467
10575,14080,2818
1982,10532,11329
13524,15265,13525
12113,17922,12114
8287,2895,6838
12029,2145,10580
5233,17973,3240
1111,8373,8374
5201,5206,114
5222,17577,5223
7911,13650,7910
3879,16216,11320
5226,118,5224
12158,2386,11261
2154,12061,12060
11727,2083,11726
4247,13428,17075
11318,15386,3374
2493,13182,13178
10535,3212,14651
9530,5175,5173
17026,16779,16778
4426,13243,17590
13640,16369,13638
7109,7110,710
2882,12888,14236
1206,8007,8579
3136,8508,7511
2833,13585,12057
8264,1055,8263
4694,7512,8602
5989,5988,356
4134,17042,17040
16222,3885,13972
16218,3744,11657
11314,11315,16769
11446,10199,10200
9816,2193,5915
10770,16223,3877
10841,10839,1880
2160,10229,11446
5976,1741,5978
16770,4335,9617
5961,346,5962
2348,12790,5885
2380,5947,11386
14167,11668,11664
15879,16200,15878
9790,9792,1629
14302,17840,14300
6007,1879,6010
6014,365,6011
17615,12615,4506
10840,4418,17260
17260,10255,4242
15695,8339,3622
15876,13971,13969
5128,1489,8492
12412,2255,12411
9522,9298,1646
15236,14662,3317
8592,9518,1644
14631,14632,14638
9301,9511,9302
13180,3794,16326
15091,3242,15092
8554,9824,8553
8033,8032,15635
8456,7285,1490
1162,5127,8492
15109,15110,15694
7161,918,7352
654,6863,6914
15671,3631,14114
2271,12492,12494
9233,1496,5094
9255,5115,3483
12147,12080,12081
13448,13446,14711
16586,3918,16588
831,7543,7545
9169,16484,3863
1350,7648,8675
17623,17622,4449
2645,13611,13610
13434,3303,15253
4544,15335,14845
16752,15736,4111
9338,9321,9883
12750,13609,3111
8976,8893,8896
8807,8808,8964
15325,4727,17996
13777,13778,16262
3335,15297,15299
3829,16073,7487
15322,15324,3344
11980,12724,2330
13609,13610,14797
8883,3348,9054
14797,13610,3344
14197,14196,2868
11189,4176,17123
12162,12165,2192
12740,12739,2332
4347,17311,9652
9704,9705,1615
15078,16049,15079
15112,15113,3247
15579,13976,13975
3681,15697,15117
11612,4796,13137
11960,11959,2130
7966,7968,8352
718,5109,7134
2489,13160,11758
15116,3248,15115
13945,13086,2757
3064,14682,14684
12346,16571,3909
17103,13824,4771
15066,3628,15970
6901,652,6900
14270,12162,2899
10051,10053,1696
2644,13606,13605
8406,8403,1126
17470,4348,16821
12631,13530,2622
13614,2646,7126
1694,10042,10043
16199,11740,11743
7125,8066,7127
1905,10905,10907
8066,14222,2877
4137,16807,12331
2235,12303,12302
9685,10246,2533
7262,1141,8450
4942,12879,2590
3767,14706,13948
6440,6439,520
13725,10037,2958
