1	-19.2812441908	1	2
4	-18.8064383647	2	1
5	-18.7671398723	1	2
6	-18.7105475526	1	3
7	-18.7075322995	5	2
8	-18.6947058144	1	4
9	-18.6846125254	1	3
10	-18.6458303332	2	6
11	-18.6382726948	2	6
12	-18.5973484347	8	2
13	-18.5966379980	7	2
16	-18.5554018296	6	3
18	-18.5263234127	3	7
20	-18.4984944314	8	4
24	-18.3726947251	2	3
25	-18.3324625635	3	4
26	-18.2995803951	1	6
27	-18.2943708568	1	7
28	-18.2706101991	8	1
29	-18.2594474439	1	6
32	-18.0697991616	7	8
36	-17.9008342206	6	1
37	-17.8834926284	7	1
38	-17.8618924100	6	1
39	-17.8349369878	1	8
40	-17.7871030785	8	7
41	-17.7044312097	1	2
42	-17.6237503085	1	2
43	-17.0956083769	1	6
44	-17.0953143411	6	1
