-19.2812441908	73.1901501464	3.3891185061	1	1	2
-19.1592741820	70.5714982556	4.6095353324	2	1	1
-18.9263038331	72.7431250295	1.8544606478	4	2	2
-18.8064383647	72.3363003593	2.5081903530	1	2	1
-18.7671398723	71.1481620432	3.7718776795	1	1	2
-18.7105475526	70.6155681711	3.9179651488	2	1	3
-18.7075322995	69.6450124036	5.3369614323	4	5	2
-18.6947058144	70.6005902485	6.7268013915	2	1	4
-18.6846125254	70.6286848970	6.5181273446	1	1	3
-18.6458303332	67.8018906157	8.4284196783	2	2	6
-18.6382726948	69.4616026597	4.1106739433	2	2	6
-18.5973484347	70.2960783998	1.7723836069	1	8	2
-18.5966379980	69.8641082096	9.8913719767	1	7	2
-18.5784589418	70.3029656829	2.3054189004	2	2	2
-18.5638478967	68.0067660634	1.4225589067	2	1	1
-18.5554018296	69.7558674165	3.5236615992	1	6	3
-18.5263715811	67.9678454053	2.0485962467	1	1	1
-18.5263234127	70.8770638778	7.1073600027	2	3	7
-18.5150925372	67.6663275131	4.5058310902	2	1	1
-18.4984944314	72.2625434072	3.8956179715	2	8	4
-18.4933010393	68.5403834932	0.8172601213	2	1	1
-18.4444901224	69.6579220816	3.9642966434	4	1	1
-18.4201717422	68.8470359270	3.8168533262	2	1	1
-18.3726947251	70.0906799744	1.7905137849	1	2	3
-18.3324625635	68.9614701134	1.7033994437	2	3	4
-18.2995803951	68.8726927799	3.2796848046	1	1	6
-18.2943708568	68.0969336256	4.7354840383	1	1	7
-18.2706101991	67.8904337844	1.1741243702	1	8	1
-18.2594474439	67.6694651089	0.9251655618	1	1	6
-18.2371567799	67.0783585629	1.6400897362	1	7	7
-18.2268820214	70.6866744556	0.3978677572	2	2	2
-18.0697991616	69.8660719368	0.8415230778	1	7	8
-18.0214980345	68.0918681963	1.2390008650	2	1	1
-18.0067971529	68.0181600867	0.4402759656	2	8	8
-17.9630929700	67.7096565650	0.4062450926	2	1	1
-17.9008342206	66.2726564055	0.9778962011	1	6	1
-17.8834926284	66.2935238608	0.9001363749	1	7	1
-17.8618924100	68.7106283567	0.8395233338	1	6	1
-17.8349369878	68.2501414738	0.8794953416	1	1	8
-17.7871030785	65.7545212191	0.6465363597	1	8	7
-17.7044312097	65.6536798262	6.0730247842	1	1	2
-17.6237503085	68.0586869143	5.4618661752	1	1	2
-17.0956083769	66.9006813885	3.0274870053	1	1	6
-17.0953143411	66.9506329832	2.9991730408	1	6	1
-16.9193467413	60.3183636102	0.8775310232	1	1	1
-16.7862960296	59.0307576303	0.3759378039	1	6	6
-16.7657986174	62.3942008214	2.3064498028	4	1	1
-16.7656881508	61.4329406593	4.4018193721	4	1	1
-16.7645342967	61.2982772501	4.2029596911	2	1	1
-16.7645057760	62.1445575662	4.1492804303	2	1	1
-16.7630213428	61.3288554867	4.2438646737	1	1	1
